更新时间: 2026-04-04 02:29:23（北京时间）

更新时间,#genre#
2026-04-04 02:29:23,https://txmov2.a.kwimgs.com/bs3/video-hls/5230086603510673905_hlsb.m3u8?pkey=AAUyMbVkU7WkimubgX0RPM_gxiBDBZ0O6NjXg8fqHAfjVU3xFbWk1Mq_dhogP1fSZfTuxFuTTP4Q9geCGPwtGGOxQWCeEZMzc8A0cmLTyXrZZWUeTZQtSukPK5Y5UyZPBuM

央视频道,#genre#
河南卫视,http://223.10.214.111:6000/rtp/239.1.1.34:8034$山西电信
河南卫视,http://106.59.2.184:55555/rtp/239.200.200.41:8232$云南电信
湖北卫视,http://171.8.84.159:8800/rtp/239.16.20.87:10870$河南电信
湖北卫视,http://180.109.221.48:7000/rtp/239.49.8.8:9632$江苏电信
湖北卫视,http://27.223.143.225:4001/rtp/239.253.254.88:8000$山东联通
湖北卫视,http://183.191.140.139:8001/rtp/226.0.2.150:9112$山西联通
湖北卫视,http://223.10.214.111:6000/rtp/239.1.1.32:8032$山西电信
湖北卫视,http://106.59.2.184:55555/rtp/239.200.200.68:8772$云南电信
湖北卫视,http://115.171.216.84:4000/rtp/225.1.8.47:8044$北京市电信
江西卫视,http://171.8.84.159:8800/rtp/239.16.20.89:10890$河南电信
江西卫视,http://180.109.221.48:7000/rtp/239.49.8.111:8000$江苏电信
江西卫视,http://27.223.143.225:4001/rtp/239.253.254.47:8000$山东联通
江西卫视,http://183.191.140.139:8001/rtp/226.0.2.198:9496$山西联通
江西卫视,http://223.10.214.111:6000/rtp/239.1.1.52:8052$山西电信
江西卫视,http://106.59.2.184:55555/rtp/239.200.200.44:8244$云南电信
江西卫视,http://115.171.216.84:4000/rtp/225.1.8.171:8166$北京市电信
四川卫视,http://171.8.84.159:8800/rtp/239.16.20.86:10860$河南电信
四川卫视,http://180.109.221.48:7000/rtp/239.49.8.110:8000$江苏电信
四川卫视,http://27.223.143.225:4001/rtp/239.253.254.180:8000$山东联通
四川卫视,http://183.191.140.139:8001/rtp/226.0.2.179:9344$山西联通
四川卫视,http://223.10.214.111:6000/rtp/239.1.1.29:8029$山西电信
四川卫视,http://106.59.2.184:55555/rtp/239.200.200.43:8240$云南电信
重庆卫视,http://171.8.84.159:8800/rtp/239.16.20.79:10790$河南电信
重庆卫视,http://180.109.221.48:7000/rtp/239.49.8.57:9830$江苏电信
重庆卫视,http://27.223.143.225:4001/rtp/239.253.254.38:8000$山东联通
重庆卫视,http://183.191.140.139:8001/rtp/226.0.2.174:9304$山西联通
重庆卫视,http://223.10.214.111:6000/rtp/239.1.1.36:8036$山西电信
重庆卫视,http://106.59.2.184:55555/rtp/239.200.200.49:8264$云南电信
重庆卫视,http://115.171.216.84:4000/rtp/225.1.8.172:8162$北京市电信
贵州卫视,http://171.8.84.159:8800/rtp/239.16.20.81:10810$河南电信
贵州卫视,http://180.109.221.48:7000/rtp/239.49.8.49:8000$江苏电信
贵州卫视,http://27.223.143.225:4001/rtp/239.253.254.113:8000$山东联通
贵州卫视,http://183.191.140.139:8001/rtp/226.0.2.180:9352$山西联通
贵州卫视,http://223.10.214.111:6000/rtp/239.1.1.43:8043$山西电信
贵州卫视,http://106.59.2.184:55555/rtp/239.200.200.45:8248$云南电信
贵州卫视,http://115.171.216.84:4000/rtp/225.1.8.77:8076$北京市电信
云南卫视,http://171.8.84.159:8800/rtp/239.16.20.85:10850$河南电信
云南卫视,http://180.109.221.48:7000/rtp/239.49.0.177:8000$江苏电信
云南卫视,http://27.223.143.225:4001/rtp/239.253.254.196:8000$山东联通
云南卫视,http://223.10.214.111:6000/rtp/239.1.1.54:8054$山西电信
云南卫视,http://106.59.2.184:55555/rtp/239.200.200.145:8840$云南电信
天津卫视,http://171.8.84.159:8800/rtp/239.16.20.96:10960$河南电信
天津卫视,http://180.109.221.48:7000/rtp/239.49.8.35:8620$江苏电信
天津卫视,http://27.223.143.225:4001/rtp/239.253.254.89:8000$山东联通
天津卫视,http://183.191.140.139:8001/rtp/226.0.2.148:9096$山西联通
天津卫视,http://223.10.214.111:6000/rtp/239.1.1.46:8046$山西电信
天津卫视,http://106.59.2.184:55555/rtp/239.200.200.69:1234$云南电信
天津卫视,http://115.171.216.84:4000/rtp/225.1.8.48:8044$北京市电信
安徽卫视,http://171.8.84.159:8800/rtp/239.16.20.75:10750$河南电信
安徽卫视,http://180.109.221.48:7000/rtp/239.49.8.80:8000$江苏电信
安徽卫视,http://27.223.143.225:4001/rtp/239.253.254.87:8000$山东联通
安徽卫视,http://183.191.140.139:8001/rtp/226.0.2.145:9072$山西联通
安徽卫视,http://223.10.214.111:6000/rtp/239.1.1.44:8044$山西电信
安徽卫视,http://106.59.2.184:55555/rtp/239.200.200.37:8212$云南电信
安徽卫视,http://115.171.216.84:4000/rtp/225.1.8.52:8064$北京市电信
山东卫视,http://171.8.84.159:8800/rtp/239.16.20.80:10800$河南电信
山东卫视,http://180.109.221.48:7000/rtp/239.49.8.7:9306$江苏电信
山东卫视,http://27.223.143.225:4001/rtp/239.253.254.78:8000$山东联通
山东卫视,http://183.191.140.139:8001/rtp/226.0.2.149:9104$山西联通
山东卫视,http://223.10.214.111:6000/rtp/239.1.1.47:8047$山西电信
山东卫视,http://106.59.2.184:55555/rtp/239.200.200.168:8748$云南电信
山东卫视,http://115.171.216.84:4000/rtp/225.1.8.50:8052$北京市电信
辽宁卫视,http://171.8.84.159:8800/rtp/239.16.20.95:10950$河南电信
辽宁卫视,http://180.109.221.48:7000/rtp/239.49.8.48:8000$江苏电信
辽宁卫视,http://27.223.143.225:4001/rtp/239.253.254.92:8000$山东联通
辽宁卫视,http://183.191.140.139:8001/rtp/226.0.2.173:9296$山西联通
辽宁卫视,http://223.10.214.111:6000/rtp/239.1.1.42:8042$山西电信
辽宁卫视,http://106.59.2.184:55555/rtp/239.200.200.3:8224$云南电信
辽宁卫视,http://115.171.216.84:4000/rtp/225.1.8.51:8056$北京市电信
黑龙江卫视,http://171.8.84.159:8800/rtp/239.16.20.99:10990$河南电信
黑龙江卫视,http://180.109.221.48:7000/rtp/239.49.8.14:9426$江苏电信
黑龙江卫视,http://27.223.143.225:4001/rtp/239.253.254.93:8000$山东联通
黑龙江卫视,http://183.191.140.139:8001/rtp/226.0.2.151:9120$山西联通
黑龙江卫视,http://223.10.214.111:6000/rtp/239.1.1.37:8037$山西电信
黑龙江卫视,http://106.59.2.184:55555/rtp/239.200.200.66:8016$云南电信
